Jets,Winnipeg,Central,0.818,18,78.6
Devils,New Jersey,Metropolitan,0.667,15,83.6
Hurricanes,Raleigh,Metropolitan,0.738,15,83.8
Golden Knights,Las Vegas,Pacific,0.682,14,76.6
Wild,St. Paul,Central,0.714,13,73.5
Capitals,Washington DC,Metropolitan,0.69,14,85.5
Maple Leafs,Toronto,Atlantic,0.667,13,83.6
Flames,Calgary,Pacific,0.614,12,75.4
Stars,Dallas,Central,0.65,13,82.8
Rangers,New York,Metropolitan,0.625,12,89.2
Panthers,Miami,Atlantic,0.568,12,81
Kings,Los Angeles,Pacific,0.568,11,79.5
Avalanche,Denver,Central,0.545,12,71.9
Lightning,Tampa Bay,Atlantic,0.6,11,77.4
Oilers,Edmonton,Pacific,0.545,11,70.9
Sabres,Buffalo,Atlantic,0.548,11,80.8
Kraken,Seattle,Pacific,0.523,11,79
Bruins,Boston,Atlantic,0.523,10,77.9
Canucks,Vancouver,Pacific,0.605,10,78.6
Blues,St. Louis,Central,0.457,10,77.1
Flyers,Philadelphia,Metropolitan,0.477,9,85.5
Islanders,Long Island,Metropolitan,0.477,8,70.2
Wings,Detroit,Atlantic,0.476,9,68.4
Blue Jackets,Columbus,Metropolitan,0.5,9,77.8
Senators,Ottawa,Atlantic,0.452,9,77.8
Ducks,Anaheim,Pacific,0.475,8,71.7
Hockey Club,Salt Lake City,Central,0.452,8,76.5
Sharks,San Jose,Pacific,0.396,7,82.3
Penguins,Pittsburgh,Metropolitan,0.391,7,78.6
Predators,Nashville,Central,0.386,7,90.5
Canadiens,Montreal,Atlantic,0.4,7,82.4
Blackhawks,Chicago,Central,0.381,7,78.7
